station;x;y;element;value;anomaly;anom_type
BM0040A;240572;7939356;Cs (ppm);0.9400181550076633;0.7606232796170984;2
BM0043;239721;7941627;Cs (ppm);0.9365137424788933;0.7606232796170984;2
ED0042;267601;7934420;Cs (ppm);0.7708520116421442;0.7606232796170984;2
ED0062;260510;7932268;Cs (ppm);0.7902851640332417;0.7606232796170984;2
ED0069;258501;7943420;Cs (ppm);0.9025467793139914;0.7606232796170984;2
ED0071;261438;7942659;Cs (ppm);1.0718820073061255;0.7606232796170984;2
MR0001;264215;7924621;Cs (ppm);0.8041394323353505;0.7606232796170984;2
EC-0142;299100;7945999;Cs (ppm);0.9208187539523752;0.7606232796170984;2
MR-0221;310136;7939132;Cs (ppm);0.8860566476931632;0.7606232796170984;2
SM-0165;309186;7950084;Cs (ppm);0.7909884750888159;0.7606232796170984;2
SQ-0002;294556;7913169;Cs (ppm);0.787460474518415;0.7606232796170984;2
SM-0107;251216;7962685;Cu (ppm);2.13956426617585;1.9661237114687555;2
SM-0080A;337500;7955475;Cu (ppm);2.0090257420869104;1.9661237114687555;2
BM0028;236767;7925246;Cu (ppm);2.1182647260894796;1.9661237114687555;2
BM-0182;320114;7953155;Cu (ppm);1.9849771264154934;1.9661237114687555;2
SM-0150A;298245;7899098;Cu (ppm);2.249931756634195;1.9661237114687555;2
SQ-0020A;339604;7952821;Cu (ppm);2.010299956639812;1.9661237114687555;2
SQ-0021;337232;7952778;Cu (ppm);2.02201573981772;1.9661237114687555;2
SQ-0024;335287;7949753;Cu (ppm);1.9903388547876015;1.9661237114687555;2
SQ-0028;339148;7936874;Cu (ppm);2.204119982655925;1.9661237114687555;2
MR-0172;282665;7963618;Fe (%);1.1760912590556813;1.158196067471709;2
SQ-0018;339477;7948268;Fe (%);1.1640552918934517;1.158196067471709;2
SQ-0020A;339604;7952821;Fe (%);1.1714339009430081;1.158196067471709;2
EC-0122;281044;7961773;Ga (ppm);1.503790683057181;1.4892596477097266;2
BM0014;238782;7911968;Ga (ppm);1.5670263661590604;1.4892596477097266;2
BM0028;236767;7925246;Ga (ppm);1.5224442335063197;1.4892596477097266;2
JR-0103;339640;7901622;Ga (ppm);1.505149978319906;1.4892596477097266;2
MR-0210A;305888;7907352;Ga (ppm);1.5289167002776547;1.4892596477097266;2
SM-0165;309186;7950084;Ga (ppm);1.5010592622177514;1.4892596477097266;2
SQ-0002;294556;7913169;Ga (ppm);1.4955443375464486;1.4892596477097266;2
EC-0122;281044;7961773;K (%);1.5228787452803376;1.3798472292053163;2
TC-0027;266569;7976124;K (%);1.6989700043360187;1.3798472292053163;2
BM0017;238608;7900699;K (%);2.0;1.8010871435688578;1
ED0011;238920;7928652;K (%);1.3979400086720375;1.3798472292053163;2
BM-0132;249709;7955769;La (ppm);2.3418300569205104;2.0649830007382137;2
AC0010A;248844;7929813;La (ppm);2.0770043267933502;2.0649830007382137;2
AC0011;253225;7928084;La (ppm);2.215901813204032;2.0649830007382137;2
BM0003;252802;7919756;La (ppm);2.1360860973840974;2.0649830007382137;2
BM0004;254903;7918476;La (ppm);2.263636068588108;2.0649830007382137;2
BM0007;241739;7921617;La (ppm);2.323252100171687;2.0649830007382137;2
BM0016;252174;7901917;La (ppm);2.3756636139608855;2.0649830007382137;2
BM0018;238864;7903218;La (ppm);2.402089350572097;2.0649830007382137;2
BM0021;261042;7914599;La (ppm);2.4168068718229443;2.0649830007382137;2
BM0030A;243046;7927051;La (ppm);2.4189638307036225;2.0649830007382137;2
BM0031;243702;7927471;La (ppm);2.102433705681336;2.0649830007382137;2
BM0032;242429;7931225;La (ppm);2.1604685311190375;2.0649830007382137;2
BM0034;238520;7933787;La (ppm);2.128722284338427;2.0649830007382137;2
BM0035;239153;7934874;La (ppm);2.1705550585212086;2.0649830007382137;2
BM0037;239315;7939839;La (ppm);2.125806458139527;2.0649830007382137;2
BM0040A;240572;7939356;La (ppm);2.1818435879447726;2.0649830007382137;2
BM0041;239517;7938890;La (ppm);2.170848203643309;2.0649830007382137;2
BM0044;239969;7942981;La (ppm);2.0941215958405612;2.0649830007382137;2
BM0046;237579;7945520;La (ppm);2.330413773349191;2.0649830007382137;2
BM0047;238999;7945316;La (ppm);2.20194306340165;2.0649830007382137;2
BM0048;239031;7942886;La (ppm);2.1248301494138593;2.0649830007382137;2
BM0049;238279;7946291;La (ppm);2.0759117614827773;2.0649830007382137;2
BM0050A;236447;7950407;La (ppm);2.162862993321926;2.0649830007382137;2
ED0060A;254483;7927400;La (ppm);2.1179338350396413;2.0649830007382137;2
MR0040A;247651;7951307;La (ppm);2.0711452904510828;2.0649830007382137;2
MR0048;247351;7945523;La (ppm);2.111262513659065;2.0649830007382137;2
AC-0053;309060;7900408;La (ppm);2.356599435724971;2.0649830007382137;2
MR-0209;304352;7911327;La (ppm);2.243781916093795;2.0649830007382137;2
SM-0150A;298245;7899098;La (ppm);2.210853365314893;2.0649830007382137;2
SQ-0020A;339604;7952821;La (ppm);2.192846115188842;2.0649830007382137;2
SQ-0021;337232;7952778;La (ppm);2.244771761495295;2.0649830007382137;2
SQ-0024;335287;7949753;La (ppm);2.077731179652392;2.0649830007382137;2
